..\Mods\@RHSAFRF\rhs_2s1,2,	class rhs_2s1
..\Mods\@RHSAFRF\rhs_2s3,2,	class rhs_2s3
..\Mods\@RHSAFRF\rhs_2s3_camo,2,	class rhs_2s3_camo
..\Mods\@RHSAFRF\rhs_a2port_air,2,	class rhs_a2port_air
..\Mods\@RHSAFRF\rhs_a2port_armor,2,	class rhs_a2port_armor
..\Mods\@RHSAFRF\rhs_a2port_armor_camo,2,	class rhs_a2port_armor_camo
..\Mods\@RHSAFRF\rhs_a2port_car,2,	class rhs_a2port_car
..\Mods\@RHSAFRF\rhs_a2port_car_camo,2,	class rhs_a2port_car_camo
..\Mods\@RHSAFRF\rhs_a3retex,2,	class rhs_a3retex
..\Mods\@RHSAFRF\rhs_accessory,2,	class rhs_accessory
..\Mods\@RHSAFRF\rhs_air,2,	class rhs_air
..\Mods\@RHSAFRF\rhs_airweapons,2,	class rhs_airweapons
..\Mods\@RHSAFRF\rhs_aps,2,	class rhs_aps
..\Mods\@RHSAFRF\rhs_aps,11,	class Lamps_base_F;
..\Mods\@RHSAFRF\rhs_aps,12,	class RHS_Dazzler: Lamps_base_F
..\Mods\@RHSAFRF\rhs_aps,19,	class All;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_aps,20,	class LaserTarget: All
..\Mods\@RHSAFRF\rhs_aps,33,	class RHS
..\Mods\@RHSAFRF\rhs_aps,48,	class Default
..\Mods\@RHSAFRF\rhs_aps,52,	class MissileCore: Default;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_aps,53,	class MissileBase: MissileCore
..\Mods\@RHSAFRF\rhs_aps,63,	class RocketCore: Default;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_aps,64,	class RocketBase: RocketCore
..\Mods\@RHSAFRF\rhs_aps,77,	class RHS_APS_Warning
..\Mods\@RHSAFRF\rhs_bmd,2,	class rhs_bmd
..\Mods\@RHSAFRF\rhs_bmd_34,2,	class rhs_bmd_34
..\Mods\@RHSAFRF\rhs_bmd_camo,2,	class rhs_bmd_camo
..\Mods\@RHSAFRF\rhs_bmk_t,2,	class rhs_bmk_t
..\Mods\@RHSAFRF\rhs_bmk_t,8,	class rhs_bkm_t: rhs_bmk_t;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_bmp,2,	class rhs_bmp
..\Mods\@RHSAFRF\rhs_bmp3,2,	class rhs_bmp3
..\Mods\@RHSAFRF\rhs_bmp3_camo,2,	class rhs_bmp3_camo
..\Mods\@RHSAFRF\rhs_bmp_camo,2,	class rhs_bmp_camo
..\Mods\@RHSAFRF\rhs_btr70,2,	class rhs_btr70
..\Mods\@RHSAFRF\rhs_btr70_camo,2,	class rhs_btr70_camo
..\Mods\@RHSAFRF\rhs_btr80,2,	class rhs_btr80
..\Mods\@RHSAFRF\rhs_btr80_camo,2,	class rhs_btr80_camo
..\Mods\@RHSAFRF\rhs_c_2s1,2,	class rhs_c_2s1
..\Mods\@RHSAFRF\rhs_c_2s1,17,	class RHS
..\Mods\@RHSAFRF\rhs_c_2s1,35,	class LandVehicle;
..\Mods\@RHSAFRF\rhs_c_2s1,36,	class Tank: LandVehicle
..\Mods\@RHSAFRF\rhs_c_2s1,42,	class Tank_F: Tank
..\Mods\@RHSAFRF\rhs_c_2s1,74,	class rhs_2s1tank_base: Tank_F
..\Mods\@RHSAFRF\rhs_c_2s1,1972,	class rhs_2s1_tv: rhs_2s1tank_base
..\Mods\@RHSAFRF\rhs_c_2s1,1991,	class rhs_2s1_vmf: rhs_2s1_tv
..\Mods\@RHSAFRF\rhs_c_2s1,1999,	class ThingX;
..\Mods\@RHSAFRF\rhs_c_2s1,2000,	class rhs_Wreck_2s1_turret_F: ThingX
..\Mods\@RHSAFRF\rhs_c_2s3,2,	class rhs_c_2s3
..\Mods\@RHSAFRF\rhs_c_2s3,16,	class RHS
..\Mods\@RHSAFRF\rhs_c_2s3,30,	class LandVehicle;
..\Mods\@RHSAFRF\rhs_c_2s3,31,	class Tank: LandVehicle
..\Mods\@RHSAFRF\rhs_c_2s3,37,	class Tank_F: Tank
..\Mods\@RHSAFRF\rhs_c_2s3,69,	class rhs_2s3tank_base: Tank_F
..\Mods\@RHSAFRF\rhs_c_2s3,1575,	class rhs_2s3_tv: rhs_2s3tank_base;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,3,	class rhs_c_a2port_air
..\Mods\@RHSAFRF\rhs_c_a2port_air,86,	class RHS_A2_AirImport
..\Mods\@RHSAFRF\rhs_c_a2port_air,94,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_air,98,	class components;
..\Mods\@RHSAFRF\rhs_c_a2port_air,102,	class RHS
..\Mods\@RHSAFRF\rhs_c_a2port_air,189,	class rhs_Missile3OClockH
..\Mods\@RHSAFRF\rhs_c_a2port_air,200,	class rhs_Missile6OClockH
..\Mods\@RHSAFRF\rhs_c_a2port_air,211,	class rhs_Missile9OClockH
..\Mods\@RHSAFRF\rhs_c_a2port_air,222,	class rhs_Missile12OClockH
..\Mods\@RHSAFRF\rhs_c_a2port_air,233,	class rhs_Missile3OClockL
..\Mods\@RHSAFRF\rhs_c_a2port_air,244,	class rhs_Missile6OClockL
..\Mods\@RHSAFRF\rhs_c_a2port_air,255,	class rhs_Missile9OClockL
..\Mods\@RHSAFRF\rhs_c_a2port_air,266,	class rhs_Missile12OClockL
..\Mods\@RHSAFRF\rhs_c_a2port_air,280,	class ProxyWeapon;
..\Mods\@RHSAFRF\rhs_c_a2port_air,281,	class ProxyRetex;
..\Mods\@RHSAFRF\rhs_c_a2port_air,282,	class ProxyMi24Wreck: ProxyRetex;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,283,	class ProxyKa52Wreck: ProxyRetex;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,284,	class ProxyMI8Wreck: ProxyRetex;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,285,	class ProxySu25Wreck: ProxyRetex;  //found empty after stripping
..\Mods\@RHSAFRF\rhs_c_a2port_air,298,	class ThingX;
..\Mods\@RHSAFRF\rhs_c_a2port_air,299,	class Air;
..\Mods\@RHSAFRF\rhs_c_a2port_air,300,	class Helicopter: Air
..\Mods\@RHSAFRF\rhs_c_a2port_air,316,	class Helicopter_Base_F: Helicopter
..\Mods\@RHSAFRF\rhs_c_a2port_air,344,	class Heli_Attack_02_base_F: Helicopter_Base_F
..\Mods\@RHSAFRF\rhs_c_a2port_air,354,	class Helicopter_Base_H: Helicopter_Base_F
